0 energy for occp = -51.4638734 m = 1 primary_state = (n, k, m, sign)0 -1 1 1
1 energy for occp = -51.4638734 m = -1 primary_state = (n, k, m, sign)0 -1 -1 1
2 energy for occp = -43.661141 m = 1 primary_state = (n, k, m, sign)0 -2 1 1
3 energy for occp = -43.661141 m = -3 primary_state = (n, k, m, sign)0 -2 -3 1
4 energy for occp = -43.661141 m = 3 primary_state = (n, k, m, sign)0 -2 3 1
5 energy for occp = -43.661141 m = -1 primary_state = (n, k, m, sign)0 -2 -1 1
6 energy for occp = -42.8118525 m = 1 primary_state = (n, k, m, sign)0 1 1 1
7 energy for occp = -42.8118525 m = -1 primary_state = (n, k, m, sign)0 1 -1 1
8 energy for occp = -34.3134262 m = 1 primary_state = (n, k, m, sign)0 -3 1 1
9 energy for occp = -34.3134262 m = -3 primary_state = (n, k, m, sign)0 -3 -3 1
10 energy for occp = -34.3134262 m = 3 primary_state = (n, k, m, sign)0 -3 3 1
11 energy for occp = -34.3134262 m = 5 primary_state = (n, k, m, sign)0 -3 5 1
12 energy for occp = -34.3134262 m = -5 primary_state = (n, k, m, sign)0 -3 -5 1
13 energy for occp = -34.3134262 m = -1 primary_state = (n, k, m, sign)0 -3 -1 1
14 energy for occp = -32.1032095 m = -1 primary_state = (n, k, m, sign)0 2 -1 1
15 energy for occp = -32.1032095 m = 1 primary_state = (n, k, m, sign)0 2 1 1
16 energy for occp = -32.1032095 m = 3 primary_state = (n, k, m, sign)0 2 3 1
17 energy for occp = -32.1032095 m = -3 primary_state = (n, k, m, sign)0 2 -3 1
18 energy for occp = -28.1778417 m = 1 primary_state = (n, k, m, sign)1 -1 1 1
19 energy for occp = -28.1778417 m = -1 primary_state = (n, k, m, sign)1 -1 -1 1
20 energy for occp = -24.0725088 m = -3 primary_state = (n, k, m, sign)0 -4 -3 1
21 energy for occp = -24.0725088 m = -7 primary_state = (n, k, m, sign)0 -4 -7 1
22 energy for occp = -24.0725088 m = 7 primary_state = (n, k, m, sign)0 -4 7 1
23 energy for occp = -24.0725088 m = 3 primary_state = (n, k, m, sign)0 -4 3 1
24 energy for occp = -24.0725088 m = 1 primary_state = (n, k, m, sign)0 -4 1 1
25 energy for occp = -24.0725088 m = 5 primary_state = (n, k, m, sign)0 -4 5 1
26 energy for occp = -24.0725088 m = -5 primary_state = (n, k, m, sign)0 -4 -5 1
27 energy for occp = -24.0725088 m = -1 primary_state = (n, k, m, sign)0 -4 -1 1
28 energy for occp = -20.0179922 m = -3 primary_state = (n, k, m, sign)0 3 -3 1
29 energy for occp = -20.0179922 m = 1 primary_state = (n, k, m, sign)0 3 1 1
30 energy for occp = -20.0179922 m = -1 primary_state = (n, k, m, sign)0 3 -1 1
31 energy for occp = -20.0179922 m = 5 primary_state = (n, k, m, sign)0 3 5 1
32 energy for occp = -20.0179922 m = -5 primary_state = (n, k, m, sign)0 3 -5 1
33 energy for occp = -20.0179922 m = 3 primary_state = (n, k, m, sign)0 3 3 1
34 energy for occp = -16.0703598 m = -1 primary_state = (n, k, m, sign)1 -2 -1 1
35 energy for occp = -16.0703598 m = 1 primary_state = (n, k, m, sign)1 -2 1 1
36 energy for occp = -16.0703598 m = 3 primary_state = (n, k, m, sign)1 -2 3 1
37 energy for occp = -16.0703598 m = -3 primary_state = (n, k, m, sign)1 -2 -3 1
38 energy for occp = -14.80903 m = -1 primary_state = (n, k, m, sign)1 1 -1 1
39 energy for occp = -14.80903 m = 1 primary_state = (n, k, m, sign)1 1 1 1
40 energy for occp = -13.4193855 m = 5 primary_state = (n, k, m, sign)0 -5 5 1
41 energy for occp = -13.4193855 m = 1 primary_state = (n, k, m, sign)0 -5 1 1
42 energy for occp = -13.4193855 m = 3 primary_state = (n, k, m, sign)0 -5 3 1
43 energy for occp = -13.4193855 m = 7 primary_state = (n, k, m, sign)0 -5 7 1
44 energy for occp = -13.4193855 m = 9 primary_state = (n, k, m, sign)0 -5 9 1
45 energy for occp = -13.4193855 m = -9 primary_state = (n, k, m, sign)0 -5 -9 1
46 energy for occp = -13.4193855 m = -5 primary_state = (n, k, m, sign)0 -5 -5 1
47 energy for occp = -13.4193855 m = -1 primary_state = (n, k, m, sign)0 -5 -1 1
48 energy for occp = -13.4193855 m = -7 primary_state = (n, k, m, sign)0 -5 -7 1
